Classes,area_km2_1985,area_km2_1986,area_km2_1987,area_km2_1988,area_km2_1989,area_km2_1990,area_km2_1991,area_km2_1992,area_km2_1993,area_km2_1994,area_km2_1995,area_km2_1996,area_km2_1997,area_km2_1998,area_km2_1999,area_km2_2000,area_km2_2001,area_km2_2002,area_km2_2003,area_km2_2004,area_km2_2005,area_km2_2006,area_km2_2007,area_km2_2008,area_km2_2009,area_km2_2010,area_km2_2011,area_km2_2012,area_km2_2013,area_km2_2014,area_km2_2015,area_km2_2016,area_km2_2017,area_km2_2018,area_km2_2019,area_km2_2020,area_km2_2021,area_km2_2022
 1. Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Florestal 1.1. Forest Formation,1843.2216,1830.28455,1748.22669,1701.5301000000002,1627.23447,1694.26071,1703.1318300000003,1669.98834,1593.4749299999999,1530.88425,1495.3997700000002,1445.62293,1299.4958700000002,1229.3893799999998,1229.5125899999998,1226.55555,1187.86761,1160.7614099999998,1067.49144,925.06068,791.25462,669.0303,588.45096,490.49901,392.54706,324.28872,275.74398,265.02470999999997,245.43432,194.30217000000002,124.31889,-5.91408,-124.07247,-235.82394,-422.36388,-594.48825,-763.1627400000001,-929.12661
 1.2. Savanna Formation,0.86247,0.86247,0.86247,0.73926,0.86247,0.86247,0.73926,0.73926,0.73926,0.61605,0.61605,0.61605,0.61605,0.61605,0.61605,0.61605,0.49284,0.49284,0.49284,0.49284,0.49284,0.49284,0.49284,0.36963,0.36963,0.36963,0.49284,0.49284,0.49284,0.49284,0.36963,0.36963,0.36963,0.36963,0.36963,0.36963,0.36963,0.36963
 1.3. Mangrove,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 1.4 Floodable Forest (beta),348.31467,346.09689,337.5954,329.83317000000005,323.05662,331.92774,334.63836000000003,330.07958999999994,329.09390999999994,332.17416000000003,330.81885,323.54946,307.65537,302.85018,309.13389,315.78723,318.00501,325.15119,326.26008,323.30304,322.07093999999995,323.05662,323.54946,322.68699000000004,317.14254,317.51217,319.1139,320.96205,321.94773000000004,322.68699000000004,323.54946,323.17983000000004,322.31736,323.05662,323.54946,321.57809999999995,325.76724,327.49218
 1.5. Wooded Sandbank Vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 2. Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 2.1. Wetland,95.11812,73.30995,75.65094,65.17809,135.77742,72.44748,69.24402,73.55637,70.96896,78.23835,70.35291,67.39587,72.20106,78.8544,67.7655,64.68525000000001,65.54772,61.11216,62.71389,62.221050000000005,63.94599,60.988949999999996,62.221050000000005,63.32994000000001,54.58203,57.41586,67.02624,71.33859,69.24402,65.05488,68.13513,80.57934,68.9976,90.68256,79.47045,72.81711,66.65661,52.36425
 2.2. Grassland,5.17482,3.94272,2.58741,7.26939,6.89976,4.43556,1.84815,2.21778,6.28371,1.97136,1.10889,4.18914,12.321000000000002,18.235079999999996,8.99433,2.71062,3.6963,1.72494,4.31235,4.80519,5.05161,1.60173,3.6963,3.81951,10.22643,9.73359,3.20346,2.95704,4.18914,12.81384,12.074580000000001,19.83681,17.372609999999998,15.52446,14.908409999999998,19.83681,19.34397,19.96002
 2.3. Hypersaline Tidal Flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
