Classes,area_km2_1985,area_km2_1986,area_km2_1987,area_km2_1988,area_km2_1989,area_km2_1990,area_km2_1991,area_km2_1992,area_km2_1993,area_km2_1994,area_km2_1995,area_km2_1996,area_km2_1997,area_km2_1998,area_km2_1999,area_km2_2000,area_km2_2001,area_km2_2002,area_km2_2003,area_km2_2004,area_km2_2005,area_km2_2006,area_km2_2007,area_km2_2008,area_km2_2009,area_km2_2010,area_km2_2011,area_km2_2012,area_km2_2013,area_km2_2014,area_km2_2015,area_km2_2016,area_km2_2017,area_km2_2018,area_km2_2019,area_km2_2020,area_km2_2021,area_km2_2022
 1. Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 1.1. Forest Formation,431.97426,422.6103,273.77261999999996,69.73686,49.53042000000001,-154.50534,-191.96118,-477.93158999999997,-605.5771500000001,-747.5150699999999,-918.5305500000001,-1109.99889,-1336.95171,-1601.2371600000001,-1713.23505,-1683.66465,-1570.4346600000001,-1586.4519599999999,-2018.4262200000003,-2301.31638,-2487.36348,-2713.0842,-2953.9597500000004,-3092.07816,-3139.14438,-3011.12919,-3042.17811,-3048.83145,-3087.0265499999996,-3077.6625899999995,-3181.15899,-3253.85289,-3188.6748,-3149.2476,-3101.07249,-3095.40483,-3164.0327999999995,-3392.21772
 1.2. Savanna Formation,12.690629999999999,9.487169999999999,4.558769999999999,3.6963,6.0372900000000005,14.41557,12.93705,10.96569,10.84248,5.79087,4.681979999999999,3.3266699999999996,2.95704,2.95704,2.83383,2.71062,2.58741,2.71062,2.83383,3.3266699999999996,3.20346,3.44988,3.20346,2.83383,2.4642,2.3409899999999997,2.21778,2.09457,1.97136,1.97136,1.84815,1.60173,1.72494,2.21778,2.58741,2.3409899999999997,2.3409899999999997,2.58741
 1.3. Mangrove,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 1.4 Floodable Forest (beta),0.24642,0.24642,0.12321,0.12321,0.12321,0.24642,0.12321,0.12321,0.12321,0.12321,0.12321,0.12321,0.12321,0.12321,0.12321,0.12321,0.12321,0.12321,0.12321,0.12321,0.12321,0.12321,0.12321,0.12321,0.12321,0.12321,0.12321,0.12321,0.12321,0.12321,0.12321,0.12321,0.12321,0.12321,0.12321,0.12321,0.12321,0.12321
 1.5. Wooded Sandbank Vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 2. Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 2.1. Wetland,7.14618,7.26939,7.88544,7.3926,9.240749999999998,7.51581,6.776549999999999,8.87112,9.98001,8.37828,6.160500000000001,7.88544,26.36694,17.12619,9.240749999999998,5.29803,4.558769999999999,4.558769999999999,5.17482,4.31235,5.05161,4.9284,5.17482,5.17482,5.42124,5.29803,5.544449999999999,5.17482,4.80519,4.681979999999999,4.31235,4.80519,4.43556,4.80519,10.96569,6.40692,6.530130000000001,2.3409899999999997
 2.2. Grassland,6.776549999999999,6.28371,5.79087,5.544449999999999,5.66766,6.530130000000001,6.40692,6.40692,6.40692,6.28371,5.91408,6.0372900000000005,6.653339999999999,6.160500000000001,5.42124,5.66766,5.42124,6.28371,6.160500000000001,6.530130000000001,6.40692,6.530130000000001,6.0372900000000005,6.0372900000000005,5.42124,5.42124,5.544449999999999,5.29803,5.79087,5.42124,5.17482,5.544449999999999,5.66766,5.79087,5.91408,5.79087,5.544449999999999,3.94272
 2.3. Hypersaline Tidal Flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 2.4. Rocky Outcrop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 2.5. Herbaceous Sandbank Vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 2.6. Other non Forest Formations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 3. Farming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 3.1. Pasture,2246.2415100000003,2255.35905,2407.4001900000003,2612.17521,2626.5907800000004,2823.35715,2860.32015,3145.9209299999998,3270.97908,3417.72219,3589.23051,3777.98823,3980.7918899999995,4251.36105,4361.3875800000005,4322.8228500000005,4198.25754,4202.32347,4616.432280000001,-4741.860059999999,-4605.95943,-4411.04121,-4197.14865,-4083.67224,-4062.2336999999998,-4222.4067000000005,-4222.89954,-4269.47292,-4329.72261,-4434.82074,-4468.94991,-4545.83295,-4759.10946,4719.80547,4616.432280000001,4572.076679999999,4629.86217,-4757.8773599999995
 3.2. Agriculture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 3.2.1. Temporary Crop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 3.2.1.1. Soybean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71062,4.06593,5.544449999999999,7.76223,11.212110000000001,22.79385,34.62201,35.85411,44.355599999999995,52.48746,59.01759,88.71119999999999,98.69121000000001,115.69418999999999,193.93254000000002,239.02739999999997,364.57839,462.16070999999994,567.9981,611.98407,654.8611500000001,816.8823,862.83963
 3.2.1.2. Sugar cane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 3.2.1.3. Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 3.2.1.4. Cotton (beta),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 3.2.1.5. Other Temporary Crops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12321,0.12321,0.0,0.0,0.0,0.0,0.24642,0.24642,4.18914,10.22643,14.7852,21.93138,36.71658,49.77684,63.45315000000001,83.41317000000001,92.4075,97.21269000000001,116.06381999999999,111.01221,142.67718,203.05007999999998,214.13898,303.71265,324.65835,369.38358,347.69862,342.27738,336.97934999999995,174.46536,138.36483
 3.2.2. Perennial Crop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 3.2.2.1. Coffee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 3.2.2.2. Citrus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 3.2.2.3. Palm Oil (beta),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 3.2.2.4. Other Perennial Crops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 3.3. Forest Plantation,0.0,0.0,0.0,0.0,0.12321,0.12321,0.12321,0.24642,0.49284,0.61605,1.10889,1.84815,5.79087,9.61038,17.49582,26.120520000000003,31.04892,36.10053,43.73955,57.04623000000001,81.56502,84.64527,89.08083,95.73416999999999,107.06949,113.84604000000002,118.65123,129.37050000000002,150.56261999999998,156.10707,159.68016,162.02115,166.33350000000002,171.2619,179.8866,184.07574,196.15032,196.64316000000002
 3.4. Mosaic of Uses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
