Classes,perc1985,perc1986,perc1987,perc1988,perc1989,perc1990,perc1991,perc1992,perc1993,perc1994,perc1995,perc1996,perc1997,perc1998,perc1999,perc2000,perc2001,perc2002,perc2003,perc2004,perc2005,perc2006,perc2007,perc2008,perc2009,perc2010,perc2011,perc2012,perc2013,perc2014,perc2015,perc2016,perc2017,perc2018,perc2019,perc2020,perc2021,perc2022
 1. Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 1.1. Forest Formation,91.981,91.692,91.274,91.051,90.617,90.502,90.38,90.119,89.597,89.053,87.92,86.735,85.877,85.195,84.628,84.151,83.558,82.616,81.248,79.95,78.601,77.235,76.085,75.573,75.252,74.961,74.052,73.179,72.474,71.587,70.426,69.164,67.804,66.706,65.503,64.565,63.228,62.17
 1.2. Savanna Formation,0.34,0.33,0.329,0.321,0.315,0.311,0.299,0.295,0.29,0.296,0.296,0.293,0.292,0.289,0.292,0.302,0.301,0.295,0.291,0.292,0.289,0.286,0.286,0.286,0.283,0.279,0.274,0.26,0.255,0.229,0.224,0.2,0.186,0.173,0.164,0.161,0.152,0.14
 1.3. Mangrove,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 1.4 Floodable Forest (beta),0.682,0.676,0.678,0.684,0.686,0.689,0.69,0.687,0.68,0.68,0.684,0.672,0.661,0.651,0.642,0.655,0.662,0.671,0.676,0.685,0.691,0.69,0.689,0.688,0.689,0.69,0.688,0.688,0.687,0.68,0.684,0.687,0.688,0.688,0.688,0.683,0.687,0.682
 1.5. Wooded Sandbank Vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 2. Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 2.1. Wetland,0.34,0.336,0.343,0.357,0.573,0.506,0.418,0.393,0.412,0.396,0.371,0.461,0.647,0.462,0.691,0.788,0.651,0.627,0.588,0.607,0.607,0.564,0.569,0.605,0.622,0.547,0.676,0.607,0.542,0.861,1.124,0.802,0.615,0.678,0.687,0.717,0.739,0.367
 2.2. Grassland,2.853,2.827,2.82,2.76,2.375,2.278,2.279,2.259,2.219,2.201,2.151,2.126,2.153,2.12,2.144,2.143,2.154,2.183,2.101,2.114,2.091,2.071,2.061,2.007,2.059,2.069,2.058,1.999,2.023,1.938,1.971,2.032,1.998,1.99,2.013,2.094,2.087,1.986
 2.3. Hypersaline Tidal Flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 2.4. Rocky Outcrop,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.048,0.048,0.048,0.048,0.048,0.048,0.048
 2.5. Herbaceous Sandbank Vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
