Classes,area_km2_1985,area_km2_1986,area_km2_1987,area_km2_1988,area_km2_1989,area_km2_1990,area_km2_1991,area_km2_1992,area_km2_1993,area_km2_1994,area_km2_1995,area_km2_1996,area_km2_1997,area_km2_1998,area_km2_1999,area_km2_2000,area_km2_2001,area_km2_2002,area_km2_2003,area_km2_2004,area_km2_2005,area_km2_2006,area_km2_2007,area_km2_2008,area_km2_2009,area_km2_2010,area_km2_2011,area_km2_2012,area_km2_2013,area_km2_2014,area_km2_2015,area_km2_2016,area_km2_2017,area_km2_2018,area_km2_2019,area_km2_2020,area_km2_2021,area_km2_2022
 1. Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 1.1. Forest Formation,1770.5276999999999,1769.91165,1695.7392300000001,1640.9107800000002,1574.25417,1509.69213,1412.23302,1264.50423,1117.14507,922.10364,628.371,421.74783,198.49131,-51.008939999999996,-350.28603000000004,-560.6055,-773.1427500000001,-1025.1072,-1367.631,-1761.53337,-1967.2940700000001,-2079.53838,-2106.1517400000002,-2142.1290599999998,-2154.08043,-2152.3554900000004,-2199.54492,-2193.2612099999997,-2220.6138300000002,-2268.54252,-2290.22748,-2307.9697199999996,-2320.66035,-2337.0472800000002,-2396.4345,-2424.5263800000002,-2478.86199,-2593.07766
 1.2. Savanna Formation,20.20644,20.822490000000002,28.83114,35.23806,35.97732,36.83979,36.71658,36.22374,35.36127,35.36127,35.48448,33.88275,27.845460000000003,26.613359999999997,26.73657,26.120520000000003,23.16348,12.56742,10.84248,11.088899999999999,13.42989,14.04594,13.67631,12.93705,13.79952,15.52446,18.85113,20.32965,20.45286,20.32965,22.67064,23.77953,24.149160000000002,23.409900000000004,23.902739999999998,25.258049999999997,25.01163,23.16348
 1.3. Mangrove,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 1.4 Floodable Forest (beta),0.73926,0.61605,0.61605,0.61605,0.61605,0.61605,0.61605,0.61605,0.61605,0.61605,0.61605,0.61605,0.61605,0.61605,0.61605,0.61605,0.61605,0.61605,0.61605,0.61605,0.61605,0.61605,0.61605,0.61605,0.61605,0.61605,0.61605,0.61605,0.61605,0.61605,0.61605,0.61605,0.61605,0.61605,0.61605,0.61605,0.61605,0.61605
 1.5. Wooded Sandbank Vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 2. Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 2.1. Wetland,5.17482,6.776549999999999,6.653339999999999,6.28371,6.530130000000001,6.89976,7.76223,7.76223,7.3926,6.776549999999999,6.776549999999999,6.776549999999999,7.26939,7.3926,6.28371,5.79087,5.66766,6.89976,8.25507,8.25507,7.26939,7.51581,8.00865,8.00865,7.26939,7.02297,6.653339999999999,5.79087,5.544449999999999,6.0372900000000005,6.0372900000000005,5.42124,5.17482,5.05161,4.9284,5.05161,4.9284,1.84815
 2.2. Grassland,277.09929,276.23682,275.12793,273.27978,272.78694,271.30842,269.70669000000004,269.58348,269.33706,269.21385000000004,269.70669000000004,269.58348,269.82989999999995,269.33706,269.21385000000004,268.96743,268.5978,267.98175,266.01039,257.75532,238.90419000000003,231.38837999999998,227.81528999999998,224.98146,223.87256999999997,223.01010000000002,222.27084,222.39405,219.80664000000002,217.95848999999998,215.24787,214.63182,212.78367000000003,213.15329999999997,213.27651000000003,213.27651000000003,213.52293,104.11245
 2.3. Hypersaline Tidal Flat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 2.4. Rocky Outcrop,10.10322,10.10322,10.10322,10.10322,10.10322,10.10322,10.10322,10.10322,10.10322,10.10322,10.10322,10.10322,10.10322,10.10322,10.10322,10.10322,10.10322,10.10322,10.10322,10.10322,10.10322,10.10322,10.10322,10.10322,10.10322,10.10322,10.10322,10.10322,10.10322,10.10322,10.10322,10.10322,10.10322,10.10322,10.10322,10.10322,10.10322,10.22643
 2.5. Herbaceous Sandbank Vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 2.6. Other non Forest Formations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 3. Farming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 3.1. Pasture,595.35072,592.1472600000001,657.6949800000001,706.60935,769.81608,832.16034,923.70537,1070.3252699999998,1216.3291199999999,1409.7688200000002,1701.1604699999998,1891.76634,2117.3638499999997,2354.91273,2652.09525,2847.01347,3011.7452399999997,3245.22819,3533.53959,3843.65916,3939.5165399999996,3969.7029899999998,3942.10395,3925.10097,3921.28146,3904.77132,3933.23283,3880.2525299999998,3737.69856,3652.06761,3536.25021,3487.3358399999997,3436.2036900000003,3440.8856699999997,3463.1866800000003,3462.81705,3518.01513,3709.48347
 3.2. Agriculture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
